run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift25,hue,490.01947021484375,5965.13916015625,-5475.119689941406
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift25,brightness,1076.7028045654297,19956.056640625,-18879.35383605957
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift50,hue,490.01947021484375,4790.17236328125,-4300.152893066406
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift50,brightness,1076.7028045654297,18286.65234375,-17209.94953918457
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift75,hue,490.01947021484375,2592.358642578125,-2102.3391723632812
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift75,brightness,1076.7028045654297,18400.26953125,-17323.56672668457
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,SaturationShift100,hue,490.01947021484375,3120.228515625,-2630.2090454101562
2_INFO_DOWN_regression_ImageNet_brightness_ResNet101_ImageNet,ImageNet,SaturationShift100,brightness,1076.7028045654297,19391.12890625,-18314.42610168457
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift25,hue,490.01947021484375,1624.4388427734375,-1134.4193725585938
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift25,saturation,1106.6236114501953,3489.406005859375,-2382.7823944091797
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift50,hue,490.01947021484375,1624.4388427734375,-1134.4193725585938
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift50,saturation,1106.6236114501953,3489.406005859375,-2382.7823944091797
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift75,hue,490.01947021484375,2973.71923828125,-2483.6997680664062
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift75,saturation,1106.6236114501953,8450.2529296875,-7343.629318237305
2_INFO_DOWN_regression_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift100,hue,490.01947021484375,3078.98291015625,-2588.9634399414062
2_INFO_DOWN_regression_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift100,saturation,1106.6236114501953,8252.318359375,-7145.694747924805
2_INFO_DOWN_regression_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift25,saturation,949.178840637207,7558.3486328125,-6609.169792175293
