run_name,dataset,transform,label,original_mse,transformed_mse,diff_mse
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift75,saturation,4478.7445068359375,4527.176550256749,-48.43204342081117
3_INFO_DOWN_regression_linear_ImageNet_hue_ResNet101_ImageNet,ImageNet,BrightnessShift100,hue,1387.7802734375,1369.8439399875176,17.936333449982385
3_INFO_DOWN_regression_linear_ImageNet_saturation_ResNet101_ImageNet,ImageNet,BrightnessShift100,saturation,4478.7445068359375,4580.149692874803,-101.4051860388654
3_INFO_DOWN_regression_linear_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift25,saturation,6731.4521484375,7764.006553575534,-1032.5544051380339
3_INFO_DOWN_regression_linear_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift25,brightness,15070.125732421875,16320.250445274613,-1250.1247128527375
3_INFO_DOWN_regression_linear_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift50,saturation,6731.4521484375,7181.260789504421,-449.80864106692115
3_INFO_DOWN_regression_linear_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift50,brightness,15070.125732421875,15499.728563116827,-429.602830694952
3_INFO_DOWN_regression_linear_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift75,saturation,6731.4521484375,7057.837307482618,-326.3851590451177
3_INFO_DOWN_regression_linear_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift75,brightness,15070.125732421875,15419.965347251877,-349.83961483000166
3_INFO_DOWN_regression_linear_ImageNet_saturation_ViT_b_16_ImageNet,ImageNet,HueShift100,saturation,6731.4521484375,7547.966936414981,-816.5147879774813
3_INFO_DOWN_regression_linear_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,HueShift100,brightness,15070.125732421875,16105.482937630224,-1035.3572052083491
3_INFO_DOWN_regression_linear_ImageNet_hue_ViT_b_16_ImageNet,ImageNet,SaturationShift25,hue,2264.5963439941406,2669.5976376628823,-405.0012936687417
3_INFO_DOWN_regression_linear_ImageNet_brightness_ViT_b_16_ImageNet,ImageNet,SaturationShift25,brightness,15070.125732421875,16240.048392594425,-1169.9226601725495
